Rank,Score_Potencial,Nome_Estudio,Bairro,Avaliação_Google,Total_Avaliações,Telefone,Link_WhatsApp,Instagram,Website,Abordagem_1_Inicial,Resposta_2_Demonstracao_SIM,Fechamento_3_Oferta_Preco_Pix,Endereço,Link_GoogleMaps
1,100,Curso Extensão de cílios - Studio Edivania Paiva Extensão de cílios Goiânia,Setor Central,5.0,265,+55 62 99394-5144,https://wa.me/5562993945144,@edivaniapaivaacademy,https://www.instagram.com/edivaniapaivaacademy/,"Oii Edivania, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Edivania! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Edivania! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Av. Anhanguera, 5389 - St. Central, Goiânia - GO, 74043-010, Brasil",https://www.google.com/maps/search/?api=1&query=Curso%20Extens%C3%A3o%20de%20c%C3%ADlios%20-%20Studio%20Edivania%20Paiva%20Extens%C3%A3o%20de%20c%C3%ADlios%20Goi%C3%A2nia&query_place_id=ChIJNcJRVe7xXpMRegJRirWTQ3Q
2,100,"Studio Layfer, Cílios, Micropigmentação e Estética - St. Alto da Glória",Alto da Glória,5.0,228,+55 62 98450-3988,https://wa.me/5562984503988,@studio.layfer,https://www.instagram.com/studio.layfer/,"Oii Layfer, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Layfer! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Layfer! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Av. São João esq. c/ Rua Vitoria, Qd. 9, Lt. 11, Alto da Glória Sala 301., 3º Andar - Alto da Glória, Goiânia - GO, 74815-745, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Layfer%2C%20C%C3%ADlios%2C%20Micropigmenta%C3%A7%C3%A3o%20e%20Est%C3%A9tica%20-%20St.%20Alto%20da%20Gl%C3%B3ria&query_place_id=ChIJzxi2-6PxXpMRk_q1l5AoAD4
3,95,"Studio Larissa Lobo. Especializado em sobrancelhas, cílios e estética.",Setor Bueno,4.8,117,+55 62 3088-6622,https://wa.me/556230886622,,http://larissalobobeauty.com.br/,"Oii Larissa, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Larissa! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Larissa! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. T 1-A, 63 - St. Bueno, Goiânia - GO, 74210-330, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Larissa%20Lobo.%20Especializado%20em%20sobrancelhas%2C%20c%C3%ADlios%20e%20est%C3%A9tica.&query_place_id=ChIJjchOyjzxXpMRxFD2HiV89GI
4,95,Extensão de cílios Goiania - Studio Leticia Santana Lash Design,Setor Bueno,5.0,83,+55 62 99361-5571,https://wa.me/5562993615571,,https://studioleticiasantana.com.br/,"Oii Leticia, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Leticia! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Leticia! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Av. T-15, 1380 - St. Bueno, Goiânia - GO, 74230-010, Brasil",https://www.google.com/maps/search/?api=1&query=Extens%C3%A3o%20de%20c%C3%ADlios%20Goiania%20-%20Studio%20Leticia%20Santana%20Lash%20Design&query_place_id=ChIJG9x9B23xXpMRznt7moxKXfw
5,95,Extensão de cílios By Poliana Souza,Setor Marista,4.9,57,+55 62 99118-9134,https://wa.me/5562991189134,,https://wa.me/message/LLEUM6GZ7Y7DM1,"Oii Poliana, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Poliana! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Poliana! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. 1137, 225 - QD; 243 LOTE 2 - St. Marista, Goiânia - GO, 74180-160, Brasil",https://www.google.com/maps/search/?api=1&query=Extens%C3%A3o%20de%20c%C3%ADlios%20By%20Poliana%20Souza&query_place_id=ChIJl_ZyRl_xXpMRoMv8tRv3jHo
6,95,Tanielly Duarte Studio Beauty,Alto da Glória,5.0,53,+55 62 98494-6565,https://wa.me/5562984946565,@taniellyduartemakeup,https://www.instagram.com/taniellyduartemakeup/,"Oii Tanielly, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Tanielly! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Tanielly! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. São Luís, 364 - Alto da Glória, Goiânia - GO, 74815-755, Brasil",https://www.google.com/maps/search/?api=1&query=Tanielly%20Duarte%20Studio%20Beauty&query_place_id=ChIJw-k52L7xXpMRSfLrH3GEy1E
7,90,Serena Beauty,Jardim Goiás,4.7,55,+55 62 98130-8053,https://wa.me/5562981308053,,https://www.annajulialashes.com.br/,"Oii Serena, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Serena! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Serena! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Edifício Trend Office - R. 72, 325 - Sl 1101 - Jardim Goiás, Goiânia - GO, 74805-480, Brasil",https://www.google.com/maps/search/?api=1&query=Serena%20Beauty&query_place_id=ChIJ30V_nJLzXpMRZxr4KhUVXi8
8,85,"Studio Cinthya Montanini Goiânia, Extensão de Cílios, Micropigmentação de Sobrancelha, Labial e alongamento de unha",Setor Bela Vista,5.0,74,+55 62 98595-0994,https://wa.me/5562985950994,@cinthyamontanini,https://www.instagram.com/cinthyamontanini/,"Oii Cinthya, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Cinthya! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Cinthya! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Comercial das acácias - Alameda Couto Magalhães, 755 - qd S-28 lt 4 sala 201 - St. Bela Vista, Goiânia - GO, 74823-410, Brasil",https://www.google.com/maps/search/?api=1&query=Studio%20Cinthya%20Montanini%20Goi%C3%A2nia%2C%20Extens%C3%A3o%20de%20C%C3%ADlios%2C%20Micropigmenta%C3%A7%C3%A3o%20de%20Sobrancelha%2C%20Labial%20e%20alongamento%20de%20unha&query_place_id=ChIJGzUau7jxXpMRuco3wD_9oYU
9,85,Design de Sobrancelhas e brow lamination Goiânia - Milenne Beauty Organiq,Setor Sul,5.0,73,+55 62 98111-2183,https://wa.me/5562981112183,@milennebeauty,https://www.instagram.com/milennebeauty/,"Oii Design, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Design! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Design! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","Rua 131 Q Area, 342 - St. Sul, Goiânia - GO, 74093-200, Brasil",https://www.google.com/maps/search/?api=1&query=Design%20de%20Sobrancelhas%20e%20brow%20lamination%20Goi%C3%A2nia%20-%20Milenne%20Beauty%20Organiq&query_place_id=ChIJKSdJ9xXxXpMR2i-K-1q6l5w
10,85,Extensão de Cílios e Design de Sobrancelhas | Studio Brunna Lima Beauty Goiânia,Setor Leste Universitário,5.0,68,+55 62 98275-9174,https://wa.me/5562982759174,@brunnalimabeauty,https://www.instagram.com/brunnalimabeauty?igsh=MXd0eWlxY3MxcjRnYw==,"Oii Design, tudo bem? 💕 Vi o seu perfil no Google e achei os seus trabalhos de cílios simplesmente perfeitos! 😍✨

Sei como é corrido o dia a dia e quanto tempo a gente perde no WhatsApp explicando técnicas (Fio a Fio, Volume Russo, Brasileiro) e enviando tabelas soltas... 📝📲

Criamos o *LashMenu*, um catálogo digital interativo e super elegante para você colocar no link da bio do Instagram e mandar nas conversas, deixando seu atendimento muito mais profissional e acelerando os seus agendamentos! 💖🌸

Posso te mandar um modelo de demonstração para você ver como fica lindo na prática? 👁️✨","Que ótimo Design! 😍💖 Segue o link de um modelo pronto para você testar a experiência como se fosse sua cliente:
👉 https://lashmenu.com/c/harmonia-rose ✨

Se você gostar da estrutura, me envia aqui uma foto ou lista dos seus procedimentos com os preços atuais que eu já monto a versão exclusiva do seu estúdio para você ver na prática! 🌸📲","Prontinho Design! 🌸✨ Montei o catálogo exclusivo do seu estúdio para você dar uma olhada:
👉 [LINK_DO_CATALOGO_PERSONALIZADO_DELA] 😍💖

A assinatura da plataforma com suporte completo e hospedagem fica por R$ 197 no site oficial (https://lashmenu.com).

Mas como estamos conversando diretamente por aqui no WhatsApp, conseguimos uma condição super especial de 15% de desconto via Pix: fica por apenas *R$ 167 (pagamento único sem mensalidades)*! 🎉💎

Quer que eu já te envie a chave Pix para liberarmos o seu link definitivo hoje mesmo? 🚀💕","R. 217, 930 - Setor Leste Universitário, Goiânia - GO, 74603-090, Brasil",https://www.google.com/maps/search/?api=1&query=Extens%C3%A3o%20de%20C%C3%ADlios%20e%20Design%20de%20Sobrancelhas%20%7C%20Studio%20Brunna%20Lima%20Beauty%20Goi%C3%A2nia&query_place_id=ChIJr9nEaLHzXpMR93NBR10NBeY
